rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,group_mix,controls
1520440545610265649,,292,,1520440545,596664947,'',0,"[0.004277934320271015, -0.03815450146794319, 0.002968866378068924, 0.5062626004219055, 0.0, 0.0, 0.0, -1.0]"
1520440545701169284,,293,,1520440545,690917888,'',0,"[0.006842940580099821, -0.023450789973139763, 0.006461312994360924, 0.49821799993515015, 0.0, 0.0, 0.0, -1.0]"
1520440545800513412,,294,,1520440545,787186512,'',0,"[0.008285971358418465, -0.037346143275499344, 0.009967060759663582, 0.5066811442375183, 0.0, 0.0, 0.0, -1.0]"
1520440545902240678,,295,,1520440545,888218912,'',0,"[0.012564078904688358, -0.019083477556705475, 0.014125898480415344, 0.504139244556427, 0.0, 0.0, 0.0, -1.0]"
1520440546002286927,,296,,1520440545,989012912,'',0,"[0.001883380813524127, -0.04577304795384407, 0.017042037099599838, 0.503332793712616, 0.0, 0.0, 0.0, -1.0]"
1520440546094801428,,297,,1520440546,84063728,'',0,"[0.016458913683891296, -0.01778854988515377, 0.019723476842045784, 0.50346440076828, 0.0, 0.0, 0.0, -1.0]"
1520440546208088596,,298,,1520440546,196447851,'',0,"[0.006798920221626759, -0.041871074587106705, 0.021206866949796677, 0.5043138265609741, 0.0, 0.0, 0.0, -1.0]"
1520440546301583718,,299,,1520440546,290926152,'',0,"[-0.005240218713879585, -0.06127619743347168, 0.022320497781038284, 0.5080843567848206, 0.0, 0.0, 0.0, -1.0]"
1520440546392485026,,300,,1520440546,389677488,'',0,"[0.013383178040385246, -0.04103446751832962, 0.022332195192575455, 0.5112958550453186, 0.0, 0.0, 0.0, -1.0]"
1520440546500407285,,301,,1520440546,487157576,'',0,"[0.00035272305831313133, -0.042182452976703644, 0.022633876651525497, 0.511695921421051, 0.0, 0.0, 0.0, -1.0]"
1520440546600740859,,302,,1520440546,587234544,'',0,"[-0.007885690778493881, -0.05901872739195824, 0.02002101019024849, 0.5204602479934692, 0.0, 0.0, 0.0, -1.0]"
1520440546698483934,,303,,1520440546,687290544,'',0,"[-0.0031601099763065577, -0.06674432754516602, 0.02055145986378193, 0.5095973610877991, 0.0, 0.0, 0.0, -1.0]"
1520440546804859611,,304,,1520440546,784249056,'',0,"[0.0035170335322618484, -0.060321707278490067, 0.020067762583494186, 0.5033080577850342, 0.0, 0.0, 0.0, -1.0]"
1520440546900756300,,305,,1520440546,885215256,'',0,"[0.0022087986581027508, -0.06153057888150215, 0.016878757625818253, 0.49848905205726624, 0.0, 0.0, 0.0, -1.0]"
1520440546995679262,,306,,1520440546,985506144,'',0,"[0.006833146326243877, -0.022830665111541748, 0.019480232149362564, 0.5381300449371338, 0.0, 0.0, 0.0, -1.0]"
1520440547092493910,,307,,1520440547,86229744,'',0,"[0.0024432556238025427, -0.07517566531896591, 0.018327591940760612, 0.5461502075195312, 0.0, 0.0, 0.0, -1.0]"
1520440547201340262,,308,,1520440547,190954240,'',0,"[0.017410539090633392, -0.07023586332798004, 0.0206394512206316, 0.5222209692001343, 0.0, 0.0, 0.0, -1.0]"
1520440547301393929,,309,,1520440547,285090224,'',0,"[0.0009397403337061405, -0.04536975175142288, 0.020261533558368683, 0.5028886198997498, 0.0, 0.0, 0.0, -1.0]"
1520440547413783070,,310,,1520440547,385382192,'',0,"[-0.003072794061154127, -0.04767507314682007, 0.019137002527713776, 0.5067212581634521, 0.0, 0.0, 0.0, -1.0]"
