rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,channels
1520440572101153190,,555,,1520440572,67347824,'',"[1549, 1598, 1520, 1580, 0, 0, 0, 0]"
1520440572205792358,,556,,1520440572,167858848,'',"[1549, 1608, 1515, 1591, 0, 0, 0, 0]"
1520440572284368822,,557,,1520440572,270476544,'',"[1566, 1616, 1543, 1576, 0, 0, 0, 0]"
1520440572372186375,,558,,1520440572,363216560,'',"[1552, 1621, 1533, 1572, 0, 0, 0, 0]"
1520440572482546088,,559,,1520440572,463854264,'',"[1568, 1611, 1543, 1559, 0, 0, 0, 0]"
1520440572575934921,,560,,1520440572,566790248,'',"[1577, 1596, 1518, 1573, 0, 0, 0, 0]"
1520440572693726493,,561,,1520440572,669467712,'',"[1559, 1623, 1530, 1560, 0, 0, 0, 0]"
1520440572787512611,,562,,1520440572,770842264,'',"[1573, 1608, 1531, 1558, 0, 0, 0, 0]"
1520440572911061304,,563,,1520440572,872358592,'',"[1581, 1595, 1507, 1578, 0, 0, 0, 0]"
1520440572975210005,,564,,1520440572,976764152,'',"[1568, 1605, 1517, 1558, 0, 0, 0, 0]"
1520440573077561256,,565,,1520440573,75485440,'',"[1560, 1617, 1517, 1560, 0, 0, 0, 0]"
1520440573178141422,,566,,1520440573,166749640,'',"[1573, 1606, 1519, 1565, 0, 0, 0, 0]"
1520440573276303121,,567,,1520440573,264387392,'',"[1567, 1611, 1502, 1578, 0, 0, 0, 0]"
1520440573394135061,,568,,1520440573,365308424,'',"[1554, 1621, 1511, 1560, 0, 0, 0, 0]"
1520440573480702368,,569,,1520440573,461226920,'',"[1570, 1599, 1496, 1570, 0, 0, 0, 0]"
1520440573581162571,,570,,1520440573,560696064,'',"[1585, 1602, 1524, 1552, 0, 0, 0, 0]"
1520440573672682972,,571,,1520440573,662696056,'',"[1570, 1627, 1510, 1574, 0, 0, 0, 0]"
1520440573771672903,,572,,1520440573,761874992,'',"[1586, 1629, 1536, 1561, 0, 0, 0, 0]"
1520440573875111648,,573,,1520440573,865561592,'',"[1583, 1626, 1526, 1561, 0, 0, 0, 0]"
1520440573974844790,,574,,1520440573,965713040,'',"[1588, 1629, 1531, 1561, 0, 0, 0, 0]"
1520440574075873517,,575,,1520440574,71812256,'',"[1583, 1614, 1523, 1550, 0, 0, 0, 0]"
1520440574174673638,,576,,1520440574,167742872,'',"[1573, 1626, 1498, 1570, 0, 0, 0, 0]"
1520440574276869604,,577,,1520440574,271199496,'',"[1576, 1624, 1510, 1554, 0, 0, 0, 0]"
1520440574377195396,,578,,1520440574,377676752,'',"[1583, 1613, 1495, 1568, 0, 0, 0, 0]"
1520440574478237675,,579,,1520440574,471385768,'',"[1574, 1623, 1509, 1549, 0, 0, 0, 0]"
1520440574573440006,,580,,1520440574,564053400,'',"[1584, 1627, 1528, 1540, 0, 0, 0, 0]"
1520440574721278719,,581,,1520440574,670832880,'',"[1569, 1638, 1527, 1531, 0, 0, 0, 0]"
1520440574775500178,,582,,1520440574,782218262,'',"[1574, 1626, 1505, 1547, 0, 0, 0, 0]"
1520440574877085505,,583,,1520440574,876616504,'',"[1579, 1623, 1506, 1548, 0, 0, 0, 0]"
1520440574972928270,,584,,1520440574,976094200,'',"[1580, 1632, 1507, 1551, 0, 0, 0, 0]"
1520440575077359559,,585,,1520440575,81986256,'',"[1571, 1628, 1509, 1538, 0, 0, 0, 0]"
1520440575194769837,,586,,1520440575,180117944,'',"[1587, 1622, 1495, 1563, 0, 0, 0, 0]"
1520440575277080252,,587,,1520440575,278003736,'',"[1578, 1644, 1508, 1559, 0, 0, 0, 0]"
1520440575387452980,,588,,1520440575,377154808,'',"[1586, 1635, 1494, 1573, 0, 0, 0, 0]"
1520440575483316852,,589,,1520440575,472795864,'',"[1593, 1642, 1497, 1586, 0, 0, 0, 0]"
1520440575582876602,,590,,1520440575,569994488,'',"[1592, 1625, 1504, 1565, 0, 0, 0, 0]"
1520440575681444692,,591,,1520440575,673521752,'',"[1581, 1627, 1507, 1550, 0, 0, 0, 0]"
1520440575804238977,,592,,1520440575,771878696,'',"[1581, 1629, 1531, 1530, 0, 0, 0, 0]"
1520440575876603173,,593,,1520440575,876949840,'',"[1587, 1627, 1504, 1562, 0, 0, 0, 0]"
1520440575993234527,,594,,1520440575,978794328,'',"[1564, 1647, 1511, 1553, 0, 0, 0, 0]"
1520440576082367539,,595,,1520440576,77374296,'',"[1586, 1626, 1519, 1552, 0, 0, 0, 0]"
1520440576192369102,,596,,1520440576,172081232,'',"[1585, 1632, 1506, 1573, 0, 0, 0, 0]"
1520440576293612626,,597,,1520440576,274161336,'',"[1577, 1640, 1509, 1570, 0, 0, 0, 0]"
1520440576397431586,,598,,1520440576,374082840,'',"[1568, 1645, 1509, 1567, 0, 0, 0, 0]"
1520440576510664943,,599,,1520440576,480336496,'',"[1574, 1638, 1514, 1558, 0, 0, 0, 0]"
1520440576592302343,,600,,1520440576,582133512,'',"[1567, 1642, 1524, 1548, 0, 0, 0, 0]"
1520440576692467359,,601,,1520440576,680674200,'',"[1572, 1633, 1524, 1545, 0, 0, 0, 0]"
1520440576792101841,,602,,1520440576,776242608,'',"[1560, 1634, 1517, 1540, 0, 0, 0, 0]"
1520440576893010615,,603,,1520440576,874953832,'',"[1576, 1626, 1502, 1564, 0, 0, 0, 0]"
1520440577000991247,,604,,1520440576,974630184,'',"[1568, 1644, 1511, 1569, 0, 0, 0, 0]"
1520440577107207583,,605,,1520440577,77445144,'',"[1557, 1648, 1508, 1566, 0, 0, 0, 0]"
1520440577202275698,,606,,1520440577,180241288,'',"[1566, 1648, 1530, 1553, 0, 0, 0, 0]"
1520440577282942936,,607,,1520440577,280619856,'',"[1588, 1628, 1524, 1560, 0, 0, 0, 0]"
1520440577381596848,,608,,1520440577,378402728,'',"[1576, 1633, 1494, 1580, 0, 0, 0, 0]"
1520440577493096560,,609,,1520440577,477905984,'',"[1568, 1642, 1503, 1569, 0, 0, 0, 0]"
1520440577606505393,,610,,1520440577,577099216,'',"[1565, 1638, 1518, 1553, 0, 0, 0, 0]"
1520440577709341927,,611,,1520440577,688396536,'',"[1573, 1629, 1518, 1557, 0, 0, 0, 0]"
1520440577801409522,,612,,1520440577,787316400,'',"[1551, 1634, 1503, 1568, 0, 0, 0, 0]"
1520440577901288648,,613,,1520440577,887334400,'',"[1556, 1626, 1516, 1551, 0, 0, 0, 0]"
1520440577993726148,,614,,1520440577,985740432,'',"[1563, 1619, 1523, 1555, 0, 0, 0, 0]"
1520440578086051107,,615,,1520440578,80813160,'',"[1551, 1628, 1521, 1560, 0, 0, 0, 0]"
1520440578198639934,,616,,1520440578,178999192,'',"[1571, 1613, 1525, 1567, 0, 0, 0, 0]"
1520440578311054521,,617,,1520440578,287116816,'',"[1549, 1630, 1521, 1564, 0, 0, 0, 0]"
1520440578392518951,,618,,1520440578,387037816,'',"[1568, 1610, 1523, 1564, 0, 0, 0, 0]"
1520440578493445118,,619,,1520440578,483104024,'',"[1555, 1626, 1531, 1560, 0, 0, 0, 0]"
1520440578593141096,,620,,1520440578,584600736,'',"[1567, 1614, 1524, 1568, 0, 0, 0, 0]"
1520440578691660683,,621,,1520440578,683331776,'',"[1542, 1639, 1522, 1570, 0, 0, 0, 0]"
1520440578799908837,,622,,1520440578,784354368,'',"[1558, 1614, 1519, 1564, 0, 0, 0, 0]"
1520440578892717500,,623,,1520440578,885069480,'',"[1548, 1626, 1517, 1569, 0, 0, 0, 0]"
1520440578991879161,,624,,1520440578,981212480,'',"[1505, 1591, 1488, 1511, 0, 0, 0, 0]"
1520440579094051938,,625,,1520440579,85315696,'',"[1518, 1570, 1488, 1511, 0, 0, 0, 0]"
1520440579193595943,,626,,1520440579,179605136,'',"[1535, 1583, 1495, 1536, 0, 0, 0, 0]"
1520440579293224250,,627,,1520440579,286724720,'',"[1541, 1622, 1522, 1560, 0, 0, 0, 0]"
1520440579392907375,,628,,1520440579,382833352,'',"[1574, 1624, 1539, 1584, 0, 0, 0, 0]"
1520440579492544426,,629,,1520440579,478013488,'',"[1560, 1623, 1538, 1578, 0, 0, 0, 0]"
1520440579592178248,,630,,1520440579,582119208,'',"[1543, 1626, 1521, 1586, 0, 0, 0, 0]"
1520440579692168630,,631,,1520440579,681995632,'',"[1500, 1578, 1474, 1527, 0, 0, 0, 0]"
1520440579792653236,,632,,1520440579,784494232,'',"[1508, 1571, 1495, 1522, 0, 0, 0, 0]"
1520440579892360621,,633,,1520440579,879655232,'',"[1501, 1595, 1502, 1552, 0, 0, 0, 0]"
1520440580030831088,,634,,1520440580,1604637,'',"[1510, 1588, 1503, 1561, 0, 0, 0, 0]"
1520440580102826410,,635,,1520440580,88134014,'',"[1498, 1593, 1553, 1465, 0, 0, 0, 0]"
1520440580223418273,,636,,1520440580,197109840,'',"[1466, 1553, 1448, 1541, 0, 0, 0, 0]"
1520440580293373359,,637,,1520440580,293199840,'',"[1468, 1526, 1475, 1536, 0, 0, 0, 0]"
1520440580393113024,,638,,1520440580,382852464,'',"[1498, 1483, 1467, 1563, 0, 0, 0, 0]"
1520440580491039768,,639,,1520440580,484654304,'',"[1439, 1513, 1506, 1522, 0, 0, 0, 0]"
1520440580591727744,,640,,1520440580,580538304,'',"[1445, 1471, 1506, 1547, 0, 0, 0, 0]"
1520440580720159592,,641,,1520440580,701333734,'',"[1422, 1484, 1517, 1536, 0, 0, 0, 0]"
1520440580793114581,,642,,1520440580,781803541,'',"[1429, 1468, 1503, 1560, 0, 0, 0, 0]"
1520440580892224025,,643,,1520440580,884979912,'',"[1419, 1476, 1505, 1549, 0, 0, 0, 0]"
1520440580993926416,,644,,1520440580,980906624,'',"[1425, 1461, 1497, 1556, 0, 0, 0, 0]"
1520440581091993091,,645,,1520440581,81470816,'',"[1435, 1457, 1518, 1534, 0, 0, 0, 0]"
1520440581219515214,,646,,1520440581,198215378,'',"[1429, 1453, 1501, 1550, 0, 0, 0, 0]"
1520440581302574857,,647,,1520440581,292570752,'',"[1423, 1457, 1501, 1556, 0, 0, 0, 0]"
1520440581401909144,,648,,1520440581,386897528,'',"[1419, 1442, 1510, 1539, 0, 0, 0, 0]"
1520440581520543617,,649,,1520440581,491787384,'',"[1417, 1439, 1512, 1537, 0, 0, 0, 0]"
1520440581627858821,,650,,1520440581,579525487,'',"[1405, 1437, 1494, 1554, 0, 0, 0, 0]"
1520440581720327822,,651,,1520440581,698684091,'',"[1404, 1441, 1506, 1548, 0, 0, 0, 0]"
1520440581792470801,,652,,1520440581,781385629,'',"[1414, 1431, 1514, 1551, 0, 0, 0, 0]"
1520440581892128995,,653,,1520440581,881399312,'',"[1409, 1435, 1512, 1557, 0, 0, 0, 0]"
1520440581992678107,,654,,1520440581,986342976,'',"[1404, 1430, 1514, 1555, 0, 0, 0, 0]"
1520440582092150142,,655,,1520440582,83732624,'',"[1469, 1467, 1471, 1516, 0, 0, 0, 0]"
1520440582220126610,,656,,1520440582,201948027,'',"[1474, 1480, 1483, 1543, 0, 0, 0, 0]"
1520440582293090188,,657,,1520440582,280829492,'',"[1457, 1488, 1479, 1558, 0, 0, 0, 0]"
1520440582395605016,,658,,1520440582,385453312,'',"[1223, 1254, 1270, 1275, 0, 0, 0, 0]"
1520440582495990243,,659,,1520440582,485508688,'',"[1231, 1247, 1267, 1277, 0, 0, 0, 0]"
1520440582624884300,,660,,1520440582,601496295,'',"[1226, 1246, 1263, 1287, 0, 0, 0, 0]"
1520440582721224529,,661,,1520440582,700072560,'',"[1224, 1249, 1260, 1289, 0, 0, 0, 0]"
